ANO;M“S;OCORR“NCIAS DE PORTE DE ENTORPECENTES;OCORR“NCIAS DE TRµFICO DE ENTORPECENTES;OCORR“NCIAS DE APREENS«O DE ENTORPECENTES(1);OCORR“NCIAS DE PORTE ILEGAL DE ARMA;Nß DE ARMAS DE FOGO APREENDIDAS;Nß DE FLAGRANTES LAVRADOS;Nß DE INFRATORES APREENDIDOS EM FLAGRANTE;Nß DE INFRATORES APREENDIDOS POR MANDADO;Nß DE PESSOAS PRESAS EM FLAGRANTE;Nß DE PESSOAS PRESAS POR MANDADO;Nß DE PRISÂES EFETUADAS;Nß DE VE÷CULOS RECUPERADOS;TOT. DE INQUêRITOS POLICIAIS INSTAURADOS;;;
2019;JANEIRO;6;49;1;4;13;106;30;4;114;55;161;71;401;;;
2019;FEVEREIRO;10;33;0;7;14;94;23;7;104;73;167;70;463;;;
2019;MARÄO;6;47;3;12;18;99;34;17;116;45;144;70;411;;;
2019;ABRIL;7;43;1;7;12;121;24;13;135;52;173;77;490;;;
2019;MAIO;11;57;0;8;18;129;23;14;149;61;190;74;505;;;
2019;JUNHO;9;40;0;2;7;86;33;11;101;70;156;81;433;;;
2019;JULHO;7;46;1;4;12;94;30;2;113;96;190;67;383;;;
2019;AGOSTO;5;61;1;8;10;93;30;9;100;83;176;51;435;;;
2019;SETEMBRO;10;54;2;9;17;150;38;6;175;85;235;70;511;;;
2019;OUTUBRO;9;55;1;10;29;104;28;6;118;80;184;47;463;;;
2019;NOVEMBRO;6;62;0;3;9;64;27;4;93;35;99;60;349;;;
2019;DEZEMBRO;9;52;0;11;14;74;25;3;122;23;97;63;273;;;
2019;TOTAL;95;599;10;85;173;1.214;345;96;1.440;758;1.972;801;5.117;;;
2020;JANEIRO;7;45;2;6;17;114;19;6;123;64;178;73;341;;;
2020;FEVEREIRO;4;38;0;7;8;107;28;2;117;59;166;31;396;;;
2020;MARÄO;1;53;2;12;16;167;26;3;194;37;204;38;352;;;
2020;ABRIL;0;26;1;6;8;123;9;4;153;9;132;26;314;;;
2020;MAIO;4;43;1;7;6;140;18;0;160;18;158;18;253;;;
2020;JUNHO;0;46;0;4;12;154;32;3;200;30;184;33;256;;;
2020;JULHO;2;36;0;5;15;129;18;4;143;35;164;38;330;;;
2020;AGOSTO;4;42;0;7;12;149;16;0;193;52;201;27;344;;;
2020;SETEMBRO;5;36;0;2;3;125;29;0;146;59;184;47;470;;;
2020;OUTUBRO;2;38;1;8;24;148;22;0;167;28;176;52;356;;;
2020;NOVEMBRO;3;38;0;9;16;90;10;1;100;15;105;44;323;;;
2020;DEZEMBRO;9;49;1;9;9;62;19;1;72;26;88;36;338;;;
2020;TOTAL;41;490;8;82;146;1.508;246;24;1.768;432;1.940;463;4.073;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
